seller_state,customer_state,orders,delivered_orders,late_rate,avg_days_late_when_late
AC,SP,1,0,,
AM,AL,1,1,1.0000,38.01
AM,MA,1,1,1.0000,0.39
AM,MG,1,1,0.0000,
BA,AC,1,1,1.0000,24.07
BA,AL,9,9,0.0000,
BA,AM,1,1,0.0000,
BA,AP,2,2,0.0000,
BA,BA,70,66,0.0909,10.32
BA,CE,14,14,0.1429,10.69
BA,DF,16,15,0.0000,
BA,ES,11,11,0.0000,
BA,GO,8,8,0.0000,
BA,MA,16,16,0.0625,134.98
BA,MG,53,51,0.0000,
BA,MS,2,2,0.0000,
BA,MT,5,5,0.0000,
BA,PA,8,8,0.1250,5.66
BA,PB,10,10,0.1000,7.79
BA,PE,33,32,0.0625,16.84
BA,PI,9,9,0.1111,0.77
BA,PR,11,10,0.1000,2.02
BA,RJ,85,83,0.0602,11.84
BA,RN,8,8,0.2500,10.23
BA,RO,3,2,0.0000,
BA,RR,1,1,0.0000,
BA,RS,22,22,0.0455,9.79
BA,SC,16,13,0.0769,5.67
BA,SE,10,9,0.0000,
BA,SP,141,138,0.0507,5.07
BA,TO,2,2,0.0000,
CE,AL,2,2,0.0000,
CE,AM,1,1,1.0000,104.69
CE,BA,3,3,0.3333,0.46
CE,CE,9,9,0.0000,
CE,DF,1,1,0.0000,
CE,ES,3,3,0.0000,
CE,GO,1,1,0.0000,
CE,MA,2,2,0.0000,
CE,MG,3,3,0.0000,
CE,MS,1,1,0.0000,
CE,MT,2,2,0.0000,
CE,PA,3,3,0.3333,6.92
CE,PB,1,0,,
CE,PE,7,7,0.2857,3.81
CE,PI,3,3,0.3333,15.73
CE,PR,5,4,0.0000,
CE,RJ,10,10,0.1000,23.79
CE,RN,1,1,0.0000,
CE,RO,1,1,0.0000,
CE,SC,2,2,0.0000,
CE,SE,3,3,0.0000,
CE,SP,25,23,0.0435,5.91
DF,AC,1,1,0.0000,
DF,AL,4,4,0.0000,
DF,BA,36,35,0.0571,22.91
DF,CE,14,13,0.3077,19.17
DF,DF,49,49,0.0612,4.04
DF,ES,19,19,0.2632,3.34
DF,GO,31,30,0.0333,0.80
DF,MA,8,8,0.0000,
DF,MG,102,102,0.0098,1.72
DF,MS,7,7,0.0000,
DF,MT,11,11,0.0909,5.87
DF,PA,11,11,0.0000,
DF,PB,8,8,0.2500,5.22
DF,PE,10,10,0.0000,
DF,PI,8,8,0.2500,3.12
DF,PR,28,27,0.0000,
DF,RJ,101,96,0.0729,14.87
DF,RN,6,6,0.3333,15.42
DF,RS,22,22,0.1364,11.45
DF,SC,21,21,0.1905,4.79
DF,SE,3,3,0.3333,14.04
DF,SP,314,307,0.0293,8.17
DF,TO,5,5,0.4000,1.47
ES,BA,23,23,0.0435,0.67
ES,CE,3,3,0.0000,
ES,DF,1,1,0.0000,
ES,ES,7,7,0.2857,5.65
ES,GO,3,3,0.0000,
ES,MA,2,2,0.0000,
ES,MG,42,42,0.0000,
ES,MT,6,6,0.0000,
ES,PA,3,3,0.3333,25.62
ES,PE,6,6,0.0000,
ES,PI,2,2,0.0000,
ES,PR,15,15,0.0000,
ES,RJ,61,59,0.0847,12.81
ES,RN,2,2,0.0000,
ES,RO,1,1,0.0000,
ES,RS,19,19,0.1053,10.90
ES,SC,13,12,0.0833,14.34
ES,SE,1,0,,
ES,SP,103,100,0.1000,7.84
ES,TO,2,2,0.0000,
GO,AC,1,1,0.0000,
GO,AL,6,6,0.0000,
GO,AM,2,2,0.0000,
GO,AP,1,1,0.0000,
GO,BA,8,8,0.0000,
GO,CE,12,12,0.0000,
GO,DF,29,28,0.0714,3.29
GO,ES,5,5,0.0000,
GO,GO,31,31,0.0323,0.79
GO,MA,9,9,0.0000,
GO,MG,85,83,0.0120,0.83
GO,MS,8,8,0.0000,
GO,MT,9,9,0.0000,
GO,PA,9,9,0.0000,
GO,PB,7,7,0.1429,4.86
GO,PE,11,10,0.2000,10.81
GO,PI,2,2,0.0000,
GO,PR,9,9,0.1111,13.88
GO,RJ,58,56,0.0536,32.16
GO,RN,1,1,0.0000,
GO,RO,1,1,0.0000,
GO,RS,12,10,0.1000,9.82
GO,SC,10,10,0.1000,2.82
GO,SP,129,125,0.0400,5.72
GO,TO,5,5,0.0000,
MA,AC,1,1,0.0000,
MA,AL,4,4,0.7500,5.19
MA,AM,1,1,0.0000,
MA,AP,1,1,0.0000,
MA,BA,10,10,0.4000,5.37
MA,CE,9,9,0.1111,15.70
MA,DF,27,27,0.1852,5.97
MA,ES,13,13,0.5385,11.74
MA,GO,16,16,0.3750,7.24
MA,MA,14,14,0.4286,2.21
MA,MG,31,31,0.1613,4.47
MA,MS,3,3,0.0000,
MA,MT,4,4,0.2500,1.53
MA,PA,5,5,0.2000,5.86
MA,PB,4,4,0.2500,22.54
MA,PE,22,21,0.1429,15.06
MA,PI,5,5,0.2000,4.73
MA,PR,9,9,0.3333,5.47
MA,RJ,41,41,0.0488,9.70
MA,RN,3,3,0.0000,
MA,RS,17,17,0.1176,9.04
MA,SC,19,19,0.2105,3.64
MA,SE,6,5,0.6000,11.13
MA,SP,125,124,0.2500,7.37
MA,TO,2,2,0.5000,0.71
MG,AC,10,10,0.0000,
MG,AL,36,35,0.1714,5.44
MG,AM,13,13,0.0769,0.59
MG,AP,3,3,0.0000,
MG,BA,377,366,0.1066,20.17
MG,CE,75,73,0.1233,11.67
MG,DF,192,188,0.0319,11.10
MG,ES,177,172,0.0465,43.72
MG,GO,155,151,0.0265,15.21
MG,MA,67,62,0.1613,6.53
MG,MG,1560,1527,0.0321,8.46
MG,MS,65,63,0.0635,7.66
MG,MT,54,53,0.0755,10.42
MG,PA,87,84,0.1310,25.84
MG,PB,49,48,0.1250,15.86
MG,PE,113,109,0.0826,12.27
MG,PI,32,32,0.0313,31.89
MG,PR,369,366,0.0191,5.46
MG,RJ,1188,1137,0.0932,12.15
MG,RN,28,28,0.0000,
MG,RO,14,14,0.0000,
MG,RR,3,2,0.0000,
MG,RS,283,279,0.0502,10.35
MG,SC,256,251,0.0876,8.58
MG,SE,36,36,0.1111,46.40
MG,SP,2607,2552,0.0431,9.30
MG,TO,17,16,0.1250,4.54
MS,AC,1,1,0.0000,
MS,BA,3,3,0.6667,8.77
MS,DF,4,4,0.0000,
MS,GO,1,1,0.0000,
MS,MG,4,4,0.0000,
MS,MT,2,2,0.5000,0.81
MS,PR,3,3,0.0000,
MS,RJ,9,9,0.0000,
MS,RS,1,1,0.0000,
MS,SC,1,1,0.0000,
MS,SP,17,17,0.0588,5.05
MT,BA,4,4,0.0000,
MT,CE,2,2,0.5000,0.82
MT,DF,7,6,0.0000,
MT,ES,2,2,0.0000,
MT,GO,10,10,0.0000,
MT,MA,3,3,0.0000,
MT,MG,20,20,0.0000,
MT,MS,5,5,0.0000,
MT,MT,6,6,0.0000,
MT,PA,3,3,0.0000,
MT,PB,2,2,0.0000,
MT,PE,6,6,0.5000,10.12
MT,PR,8,8,0.0000,
MT,RJ,13,13,0.0769,4.88
MT,RN,1,1,0.0000,
MT,RO,2,2,0.0000,
MT,RS,6,6,0.0000,
MT,SC,5,5,0.0000,
MT,SP,30,30,0.0333,4.81
PA,MG,1,1,0.0000,
PA,PR,1,1,0.0000,
PA,SP,6,6,0.1667,0.97
PB,AL,1,1,1.0000,0.81
PB,BA,2,2,0.0000,
PB,CE,1,1,0.0000,
PB,DF,1,1,0.0000,
PB,ES,1,1,0.0000,
PB,GO,1,1,0.0000,
PB,MA,1,1,0.0000,
PB,MG,2,2,0.0000,
PB,MT,1,1,0.0000,
PB,PA,1,1,0.0000,
PB,PB,1,1,0.0000,
PB,PE,2,2,0.0000,
PB,RJ,10,9,0.1111,2.61
PB,RN,1,1,0.0000,
PB,SE,1,1,0.0000,
PB,SP,7,7,0.0000,
PE,AL,9,9,0.1111,6.84
PE,AP,1,1,0.0000,
PE,BA,25,25,0.0000,
PE,CE,17,17,0.0588,15.72
PE,DF,16,15,0.0667,8.61
PE,ES,17,17,0.0000,
PE,GO,12,12,0.0000,
PE,MA,5,5,0.0000,
PE,MG,60,60,0.0000,
PE,MS,2,2,0.0000,
PE,MT,1,1,0.0000,
PE,PA,5,5,0.0000,
PE,PB,8,8,0.0000,
PE,PE,23,23,0.0435,1.90
PE,PI,8,8,0.2500,2.22
PE,PR,9,9,0.1111,5.69
PE,RJ,43,42,0.0714,10.41
PE,RN,4,4,0.0000,
PE,RO,3,3,0.0000,
PE,RS,13,13,0.1538,8.39
PE,SC,9,9,0.3333,2.62
PE,SE,7,7,0.0000,
PE,SP,105,104,0.0288,9.50
PE,TO,1,1,0.0000,
PI,CE,1,1,0.0000,
PI,MA,1,1,0.0000,
PI,MG,2,2,0.0000,
PI,PB,1,1,0.0000,
PI,PE,1,1,0.0000,
PI,PI,1,1,0.0000,
PI,PR,1,1,0.0000,
PI,RJ,1,0,,
PI,SC,1,1,0.0000,
