seller_id,orders,gmv_booked,aov_booked,delivered_orders,late_rate,avg_days_vs_estimate,avg_days_late_when_late,avg_review_score
0015a82c2db000af6aaaf3ae2ecb0532,3,2748.06,916.02,3,0.0000,-15.59,,3.67
001cca7ae9ae17fb1caed9dfb1094831,200,34020.15,170.10,195,0.0667,-12.23,11.87,3.98
001e6ad469a905060d959994f1b41e4f,1,267.94,267.94,0,,,,1.00
002100f778ceb8431b7a1020ff7ab48f,51,2202.64,43.19,50,0.1800,-7.39,8.25,3.90
003554e2dce176b5555353e4f3555ac8,1,139.38,139.38,1,0.0000,-26.07,,5.00
004c9cd9d87a3c30c522c48c4fc07416,158,23367.54,147.90,156,0.0833,-11.06,8.91,4.15
00720abe85ba0859807595bbf045a33b,13,1372.43,105.57,13,0.1538,-7.08,10.24,3.62
00ab3eff1b5192e5f1a63bcecfee11c8,1,110.08,110.08,1,0.0000,-9.46,,5.00
00d8b143d12632bad99c0ad66ad52825,1,137.10,137.10,1,0.0000,-21.30,,5.00
00ee68308b45bc5e2660cd833c3f81cc,135,24101.64,178.53,135,0.0889,-10.07,10.83,4.30
00fc707aaaad2d31347cf883cd2dfe10,103,15434.89,149.85,103,0.0485,-14.83,6.36,4.06
010543a62bd80aa422851e79a3bc7540,2,1447.95,723.98,2,0.0000,-7.75,,4.50
010da0602d7774602cd1b3f5fb7b709e,1,1079.75,1079.75,1,0.0000,-9.11,,1.00
011b0eaba87386a2ae96a7d32bb531d1,1,129.16,129.16,1,0.0000,-29.52,,4.00
01266d4c46afa519678d16a8b683d325,3,137.48,45.83,3,0.0000,-8.60,,5.00
013900e863eace745d3ec7614cab5b1a,23,2089.37,90.84,23,0.0000,-14.73,,4.70
014c0679dd340a0e338872e7ec85666a,14,7686.31,549.02,14,0.1429,-10.45,6.96,3.86
014d9a685fd57276679edd00e07089e5,11,1152.06,104.73,11,0.0000,-12.25,,3.73
0176f73cc1195f367f7b32db1e5b3aa8,38,6334.10,166.69,37,0.1081,-8.27,16.59,4.08
01bcc9d254a0143f0ce9791b960b2a47,11,1798.87,163.53,10,0.0000,-17.62,,4.40
01c97ebb5cdac52891c0ed1c37ba0012,9,756.00,84.00,9,0.0000,-7.47,,4.22
01cf7e3d21494c41fb86034f2e714fa1,61,11738.18,192.43,59,0.0508,-14.49,12.82,4.15
01ed254b9ff8407dfb9d99ba1e17d923,5,1533.71,306.74,5,0.0000,-16.23,,5.00
01fd077212124329bac32490e8ef80d9,31,1983.93,64.00,31,0.0323,-10.52,9.94,4.16
01fdefa7697d26ad920e9e0346d4bd1b,129,17735.13,137.48,128,0.0625,-13.01,5.36,4.35
0241d4d5d36f10f80c644447315af0bd,238,40271.61,169.21,238,0.0588,-12.29,7.66,4.35
0249d282d911d23cb8b869ab49c99f53,11,570.03,51.82,11,0.1818,-7.53,6.75,4.27
024b564ae893ce8e9bfa02c10a401ece,2,918.40,459.20,2,0.0000,-36.51,,4.50
028872bfa080090a9d0abd4f1af168f8,1,117.87,117.87,1,0.0000,-14.14,,5.00
02a2272692e13558373c66db98f05e2e,2,93.85,46.93,0,,,,3.00
02b72cdeb9cfcc429f1af6f4e3f3b737,4,748.64,187.16,4,0.0000,-8.29,,4.75
02c988090b766852e088c69d7fb3b551,13,1836.95,141.30,12,0.0000,-10.41,,4.58
02d35243ea2e497335cd0f076b45675d,14,7216.21,515.44,14,0.3571,-5.43,8.48,2.64
02dcd3e8e25bee036e32512bcf175493,14,1804.07,128.86,13,0.3077,-5.60,10.16,3.86
02ecc2a19303f05e59ce133fd923fff7,21,5852.32,278.68,21,0.0000,-14.19,,4.62
02f5837340d7eb4f653d676c7256523a,30,4463.88,148.80,30,0.0333,-16.66,8.28,4.83
02f623a8eb246f3c5f7c2f96462654e6,44,7207.63,163.81,44,0.0909,-9.97,9.21,4.56
0307f7565ff85b299b6e5ef162b1b1a9,7,5003.57,714.80,6,0.0000,-16.09,,3.14
0336182e1b3e92f029d5354832045fdf,1,162.39,162.39,1,0.0000,-41.14,,2.00
034b9387752bfa309f350a70cd45ffa3,8,240.26,30.03,8,0.0000,-14.65,,4.50
038b75b729c8a9a04b0d07cba7eabe86,2,557.85,278.93,2,0.5000,-0.80,5.54,3.50
039b29ff3b3473435d0cd59040575de9,9,215.55,23.95,9,0.0000,-9.96,,4.44
039e6ad9dae79614493083e241147386,5,13273.42,2654.68,5,0.2000,-11.41,11.82,4.00
03a2a6dcbe45d639c4dc2a0d24769c40,9,1250.66,138.96,9,0.1111,-11.99,11.01,4.11
03bd479e1d9484cdb14104d3023f7321,3,596.41,198.80,3,0.3333,-4.89,0.96,4.33
0417b067eeab773d2f7061a726dc477f,13,2501.75,192.44,13,0.3077,-3.19,9.19,3.92
042573af89b6d931f672efaf789d8358,3,478.57,159.52,3,0.3333,-0.39,26.90,3.67
04308b1ee57b6625f47df1d56f00eedf,94,63184.99,672.18,92,0.1196,-10.88,8.87,3.88
0432ead42b6c8a0bdf68154add917fdf,85,9386.66,110.43,82,0.0366,-12.49,6.80,4.46
044668ccd5316b12a7cf0d54a156e3e9,3,191.35,63.78,3,0.0000,-29.76,,5.00
04843805947f0fc584fc1969b6e50fe7,1,1474.76,1474.76,1,1.0000,0.66,0.66,5.00
048c2757535328e0d7dac690ad3c0aae,51,10551.06,206.88,50,0.1400,-9.29,10.84,4.18
04aa0a1c5ce6b222003403a3e11c3cc0,11,6339.51,576.32,11,0.1818,-11.01,6.31,4.09
04aba03279157f6d4e0fe8ccaf21963c,16,2922.33,182.65,15,0.0667,-13.26,22.55,4.31
04e38a233f726ef161074ab1c9b0399a,23,1811.27,78.75,19,0.1579,-4.95,7.37,3.65
04ee0ec01589969663ba5967c0e0bdc0,1,314.32,314.32,1,0.0000,-12.45,,5.00
04fdea0c111866e6cf812f1570d6b5bd,10,1261.95,126.20,8,0.1250,-9.53,8.73,3.20
0509040ea3fe50071181bbc359eb7738,89,5183.10,58.24,87,0.0690,-9.96,3.02,4.48
052577151711aec5c744fe12e66db3e1,4,2970.42,742.61,1,0.0000,-11.19,,2.25
054694fa03fe82cec4b7551487331d74,21,10703.75,509.70,20,0.3000,-0.31,35.74,3.48
056b4ada5bbc2c50cc7842547dda6b51,65,13639.41,209.84,64,0.1094,-11.71,22.87,4.17
